epoch,train_loss,train_rmse
1,9077.3654,95.2752
2,8217.9205,90.6527
3,6584.0452,81.1421
4,4337.424,65.8591
5,2414.9964,49.1426
6,1656.6569,40.7021
7,1480.8862,38.4823
8,1366.7845,36.97
9,1250.2597,35.359
10,1125.122,33.5428
11,994.5792,31.5369
12,866.0757,29.4292
13,749.2759,27.3729
14,647.06,25.4374
15,560.4729,23.6743
16,485.9542,22.0444
17,433.8267,20.8285
18,400.3406,20.0085
19,378.1951,19.4472
20,362.3845,19.0364
21,351.9268,18.7597
22,343.8754,18.5439
23,337.9323,18.3829
24,333.5731,18.264
25,330.3614,18.1758
26,328.4125,18.1222
27,326.6995,18.0748
28,325.4637,18.0406
29,324.4087,18.0114
30,323.5839,17.9884
31,322.9955,17.9721
32,322.5312,17.9592
33,322.0174,17.9448
34,321.731,17.9369
35,321.34,17.926
36,321.2596,17.9237
37,321.0438,17.9177
38,320.762,17.9098
39,320.4995,17.9025
40,320.2466,17.8954
41,319.9476,17.8871
42,319.5773,17.8767
43,319.3872,17.8714
44,319.1996,17.8662
45,319.0715,17.8626
46,318.9092,17.858
47,318.8301,17.8558
48,318.7495,17.8536
49,318.7899,17.8547
50,318.6136,17.8498
51,318.427,17.8445
52,318.271,17.8401
53,318.1847,17.8377
54,318.0021,17.8326
55,317.8983,17.8297
56,317.8331,17.8279
57,317.7499,17.8255
58,317.6134,17.8217
59,317.9003,17.8298
60,317.8431,17.8282
61,317.4458,17.817
62,317.4107,17.816
63,317.3484,17.8143
64,317.2023,17.8102
65,317.2672,17.812
66,316.9831,17.804
67,317.2245,17.8108
68,317.0617,17.8062
69,317.0553,17.806
70,317.037,17.8055
71,316.9495,17.8031
72,316.8913,17.8014
73,316.7405,17.7972
74,317.2636,17.8119
75,316.5754,17.7926
76,316.6319,17.7942
77,316.5095,17.7907
78,316.822,17.7995
79,316.3722,17.7869
80,316.5204,17.791
81,316.5065,17.7906
82,316.3592,17.7865
83,316.5123,17.7908
84,316.4704,17.7896
85,316.3695,17.7868
86,316.0715,17.7784
87,316.2575,17.7836
88,316.3223,17.7855
89,316.0964,17.7791
90,316.0377,17.7774
91,316.1375,17.7803
92,315.9536,17.7751
93,316.0706,17.7784
94,315.8649,17.7726
95,315.8054,17.7709
96,315.7374,17.769
97,315.8057,17.7709
98,315.9429,17.7748
99,315.8062,17.7709
100,315.547,17.7636
101,315.6612,17.7669
102,315.6452,17.7664
103,315.5739,17.7644
104,315.49,17.762
105,315.706,17.7681
106,315.3803,17.7589
107,315.2981,17.7566
108,315.2079,17.7541
109,315.3211,17.7573
110,315.8813,17.7731
111,315.1493,17.7524
112,315.1619,17.7528
113,315.3572,17.7583
114,315.499,17.7623
115,315.9435,17.7748
116,315.2109,17.7542
117,315.1817,17.7534
118,315.0548,17.7498
119,314.9251,17.7461
120,314.9668,17.7473
121,314.8259,17.7433
122,314.8168,17.7431
123,315.0828,17.7506
124,314.8967,17.7453
125,314.8711,17.7446
126,314.877,17.7448
127,314.9468,17.7467
128,314.9712,17.7474
129,314.9285,17.7462
130,314.9321,17.7463
131,314.7452,17.7411
132,314.9079,17.7456
133,314.6317,17.7379
134,314.5874,17.7366
135,314.5076,17.7344
136,314.708,17.74
137,315.2365,17.7549
138,314.5133,17.7345
139,314.5148,17.7346
140,314.6218,17.7376
141,314.6557,17.7385
142,314.3098,17.7288
143,314.3237,17.7292
144,314.6447,17.7382
145,314.6231,17.7376
146,314.5993,17.7369
147,314.6523,17.7384
148,314.5794,17.7364
149,314.333,17.7294
150,314.5836,17.7365
151,314.381,17.7308
152,314.321,17.7291
153,314.4193,17.7319
154,314.5957,17.7368
155,314.4858,17.7337
156,314.5244,17.7348
157,314.2074,17.7259
158,314.3134,17.7289
159,314.4544,17.7329
160,314.4957,17.734
161,314.2964,17.7284
162,314.4154,17.7318
163,314.4017,17.7314
164,314.2291,17.7265
165,314.0437,17.7213
166,314.0546,17.7216
167,314.1288,17.7237
168,314.2479,17.727
169,314.0847,17.7224
170,314.8607,17.7443
171,314.2638,17.7275
172,314.1672,17.7248
173,314.265,17.7275
174,313.9928,17.7198
175,313.931,17.7181
176,314.302,17.7286
177,313.8802,17.7167
178,314.0293,17.7209
179,314.0569,17.7216
180,313.8197,17.715
181,313.9557,17.7188
182,314.0782,17.7223
183,314.0249,17.7207
184,313.839,17.7155
185,313.9782,17.7194
186,313.9444,17.7185
187,313.9394,17.7183
188,313.9819,17.7195
189,314.2521,17.7272
190,313.8471,17.7157
191,313.9669,17.7191
192,313.6615,17.7105
193,313.8459,17.7157
194,313.9746,17.7193
195,314.1135,17.7232
196,313.9219,17.7178
197,313.7304,17.7124
