model,feature,importance,importance_pct,rank
FD001_NORM,P15,0.222695,22.2695,1
FD001_NORM,NRc,0.067002,6.7002,2
FD001_NORM,phi,0.06639,6.639,3
FD001_NORM,Nc,0.057751,5.7751,4
FD001_NORM,Ps30,0.057146,5.7146,5
FD001_NORM,NRf,0.05692,5.692,6
FD001_NORM,W32,0.056515,5.6515,7
FD001_NORM,T30,0.055006,5.5006,8
FD001_NORM,T50,0.054699,5.4699,9
FD001_NORM,P30,0.052956,5.2956,10
FD001_NORM,W31,0.051448,5.1448,11
FD001_NORM,T24,0.051127,5.1127,12
FD001_NORM,Nf,0.050404,5.0404,13
FD001_NORM,htBleed,0.050072,5.0072,14
FD001_NORM,BPR,0.04987,4.987,15
