unit_number,time_cycles,condition_id,PC1,PC2
1.0,1.0,1.0,-4.526287,-0.15128207
1.0,2.0,1.0,-4.1018405,-1.1886766
1.0,3.0,1.0,-4.606003,-0.05481574
1.0,4.0,1.0,-5.412416,-0.13267693
1.0,5.0,1.0,-3.737527,-0.09047666
1.0,6.0,1.0,-5.564447,0.10485895
1.0,7.0,1.0,-4.6547503,0.6652602
1.0,8.0,1.0,-5.4872746,-0.8222414
1.0,9.0,1.0,-5.4188204,-1.0197629
1.0,10.0,1.0,-4.6449056,-0.47466132
1.0,11.0,1.0,-4.810966,0.46375364
1.0,12.0,1.0,-5.5780563,0.038853467
1.0,13.0,1.0,-2.8856032,-2.0110464
1.0,14.0,1.0,-4.401733,-0.43374214
1.0,15.0,1.0,-4.3424044,-0.9747379
1.0,16.0,1.0,-4.342243,-0.30347374
1.0,17.0,1.0,-3.2853491,0.0068574995
1.0,18.0,1.0,-4.293987,-0.5296618
1.0,19.0,1.0,-4.200011,-0.4185376
1.0,20.0,1.0,-5.094853,-0.7012501
1.0,21.0,1.0,-4.8556194,-0.48277238
1.0,22.0,1.0,-3.4931624,0.13697979
1.0,23.0,1.0,-4.9446917,-1.0286323
1.0,24.0,1.0,-4.148223,-1.1209098
1.0,25.0,1.0,-4.1006966,0.46739852
1.0,26.0,1.0,-4.2907324,-0.83324933
1.0,27.0,1.0,-3.9495869,-0.69571805
1.0,28.0,1.0,-4.878704,-1.006119
1.0,29.0,1.0,-4.7086864,-0.18557253
1.0,30.0,1.0,-5.3703456,0.09911553
1.0,31.0,1.0,-4.2929745,-0.4790716
1.0,32.0,1.0,-5.154358,-0.2751134
1.0,33.0,1.0,-4.234591,-0.6034466
1.0,34.0,1.0,-3.677747,-1.6744568
1.0,35.0,1.0,-4.4977293,0.017629325
1.0,36.0,1.0,-5.0315614,-0.5348675
1.0,37.0,1.0,-5.5227737,0.39983267
1.0,38.0,1.0,-5.0742435,0.5924493
1.0,39.0,1.0,-4.714357,-0.1350368
1.0,40.0,1.0,-4.8743234,-0.07345641
1.0,41.0,1.0,-4.485377,0.06291813
1.0,42.0,1.0,-4.054051,-0.18535963
1.0,43.0,1.0,-3.8628378,-0.38887325
1.0,44.0,1.0,-5.4165154,-0.2712597
1.0,45.0,1.0,-3.1668048,-0.4884366
1.0,46.0,1.0,-3.704356,-0.1857683
1.0,47.0,1.0,-5.544134,-0.46767166
1.0,48.0,1.0,-4.2111263,-1.2801383
1.0,49.0,1.0,-4.8462496,-0.038515598
1.0,50.0,1.0,-3.6432247,-1.4381994
1.0,51.0,1.0,-3.7920203,-0.66536605
1.0,52.0,1.0,-4.010697,-0.11442748
1.0,53.0,1.0,-3.963287,-0.39663908
1.0,54.0,1.0,-3.3887882,-0.41083458
1.0,55.0,1.0,-4.7946205,-0.13007584
1.0,56.0,1.0,-4.6934376,-0.60261095
1.0,57.0,1.0,-3.3981395,-0.65002084
1.0,58.0,1.0,-4.632508,-0.44048634
1.0,59.0,1.0,-3.6376405,-0.9890351
1.0,60.0,1.0,-4.422821,-0.19114837
1.0,61.0,1.0,-4.1559477,-0.83796835
1.0,62.0,1.0,-4.668367,-0.3146464
1.0,63.0,1.0,-2.3672874,-1.284578
1.0,64.0,1.0,-4.6402407,-1.5133933
1.0,65.0,1.0,-3.217712,-1.6316082
1.0,66.0,1.0,-4.317388,-0.054285556
1.0,67.0,1.0,-3.7841415,-0.59831786
1.0,68.0,1.0,-3.3718133,-0.9238632
1.0,69.0,1.0,-4.0150247,-0.94748557
1.0,70.0,1.0,-3.5487704,-1.031353
1.0,71.0,1.0,-4.36266,-0.7983867
1.0,72.0,1.0,-3.7815466,-0.40143767
1.0,73.0,1.0,-4.770254,-0.6598377
1.0,74.0,1.0,-3.7820847,-0.89259803
1.0,75.0,1.0,-4.314844,-1.6532905
1.0,76.0,1.0,-4.4857035,0.5336801
1.0,77.0,1.0,-3.0804894,-1.090133
1.0,78.0,1.0,-4.267934,-1.4870378
1.0,79.0,1.0,-3.226248,-1.002411
1.0,80.0,1.0,-3.4573817,-1.3821986
1.0,81.0,1.0,-3.2614841,-1.8167362
1.0,82.0,1.0,-4.0113134,-0.63026464
1.0,83.0,1.0,-3.3783765,-1.1449921
1.0,84.0,1.0,-2.6215112,-1.241302
1.0,85.0,1.0,-3.448083,0.18171719
1.0,86.0,1.0,-3.4315588,-1.4903427
1.0,87.0,1.0,-2.7709653,-1.5440379
1.0,88.0,1.0,-3.9601266,-1.0213993
1.0,89.0,1.0,-2.9015992,-0.44901904
1.0,90.0,1.0,-3.2441282,-1.4354829
1.0,91.0,1.0,-3.8132496,-0.57354224
1.0,92.0,1.0,-3.3224826,-1.3494151
1.0,93.0,1.0,-1.8741223,-1.668291
1.0,94.0,1.0,-2.4957736,-1.9133353
1.0,95.0,1.0,-2.63362,-1.1453046
1.0,96.0,1.0,-3.707035,-1.1600457
1.0,97.0,1.0,-2.9306893,-1.8478956
1.0,98.0,1.0,-3.8632872,-1.5796895
1.0,99.0,1.0,-1.6703601,-2.180389
1.0,100.0,1.0,-2.8948052,-1.5804178
1.0,101.0,1.0,-2.830179,-1.6518631
1.0,102.0,1.0,-1.7082009,-1.8493001
1.0,103.0,1.0,-2.8769844,-1.8367655
1.0,104.0,1.0,-3.8684907,-1.3248868
1.0,105.0,1.0,-2.8245356,-1.2657737
1.0,106.0,1.0,-2.8803196,-1.8395686
1.0,107.0,1.0,-2.2469602,-1.3606157
1.0,108.0,1.0,-2.087247,-1.8676479
1.0,109.0,1.0,-2.582704,-1.4987247
1.0,110.0,1.0,-2.3522274,-1.9231775
1.0,111.0,1.0,-1.1821877,-2.049154
1.0,112.0,1.0,-2.4859962,-1.226591
1.0,113.0,1.0,-1.0557742,-2.1674662
1.0,114.0,1.0,-2.5597003,-1.74186
1.0,115.0,1.0,-1.8044001,-2.1469994
1.0,116.0,1.0,-3.6657739,-0.6608254
1.0,117.0,1.0,-1.9625325,-2.2910452
1.0,118.0,1.0,-1.9250343,-1.3951933
1.0,119.0,1.0,-2.1088033,-2.657856
1.0,120.0,1.0,-1.5287195,-2.5641456
1.0,121.0,1.0,-1.6859511,-2.1673942
1.0,122.0,1.0,-0.11084604,-3.3360934
1.0,123.0,1.0,-1.2397789,-2.5563288
1.0,124.0,1.0,-0.50995517,-2.081359
1.0,125.0,1.0,-0.83057714,-3.173446
1.0,126.0,1.0,-1.7288101,-1.8683777
1.0,127.0,1.0,-1.5089325,-1.9735038
1.0,128.0,1.0,-0.34542465,-1.9408631
1.0,129.0,1.0,-0.9204643,-2.9443967
1.0,130.0,1.0,-1.6993409,-3.1050858
1.0,131.0,1.0,-1.465888,-3.0538638
1.0,132.0,1.0,-0.14169621,-3.5167809
1.0,133.0,1.0,-0.7809136,-2.12647
1.0,134.0,1.0,-1.0458524,-2.649022
1.0,135.0,1.0,-1.7547557,-2.2464797
1.0,136.0,1.0,-2.0578573,-2.5238466
1.0,137.0,1.0,-0.6497221,-3.4700503
1.0,138.0,1.0,-1.692468,-2.352782
1.0,139.0,1.0,-0.24791265,-3.5154533
1.0,140.0,1.0,-0.26199055,-2.1354122
1.0,141.0,1.0,-0.59654045,-3.3960054
1.0,142.0,1.0,-0.067007065,-3.712423
1.0,143.0,1.0,-0.7170694,-2.7101336
1.0,144.0,1.0,0.03842807,-3.4805954
1.0,145.0,1.0,1.2890899,-3.4737456
1.0,146.0,1.0,-0.8073847,-3.021904
1.0,147.0,1.0,-0.29804254,-3.8915558
1.0,148.0,1.0,-0.6635885,-4.090211
1.0,149.0,1.0,1.6304462,-3.4877653
1.0,150.0,1.0,0.7810297,-4.430144
1.0,151.0,1.0,1.6110575,-4.1458006
1.0,152.0,1.0,2.0798628,-5.4628115
1.0,153.0,1.0,1.1100461,-4.065798
1.0,154.0,1.0,1.9564273,-3.9002833
1.0,155.0,1.0,0.78861284,-4.206649
1.0,156.0,1.0,1.1980999,-4.3788624
1.0,157.0,1.0,0.7803285,-3.4997127
1.0,158.0,1.0,1.0613673,-4.025071
1.0,159.0,1.0,1.8525684,-4.2985663
1.0,160.0,1.0,3.3927176,-5.715441
1.0,161.0,1.0,1.88287,-4.3143163
1.0,162.0,1.0,2.8679736,-5.282845
1.0,163.0,1.0,3.9480755,-5.3728786
1.0,164.0,1.0,3.5774705,-5.306991
1.0,165.0,1.0,2.112972,-5.41775
1.0,166.0,1.0,4.122754,-6.5530806
1.0,167.0,1.0,1.7804897,-5.3824787
1.0,168.0,1.0,1.5271151,-5.6618757
1.0,169.0,1.0,3.5108192,-4.6516314
1.0,170.0,1.0,3.6791341,-6.157869
1.0,171.0,1.0,3.4937675,-5.865694
1.0,172.0,1.0,3.1943753,-6.7321987
1.0,173.0,1.0,4.498828,-6.014333
1.0,174.0,1.0,3.6109397,-6.52088
1.0,175.0,1.0,4.9292326,-6.3005133
1.0,176.0,1.0,3.4587638,-5.7207627
1.0,177.0,1.0,5.5806875,-6.781358
1.0,178.0,1.0,4.7620115,-6.6626163
1.0,179.0,1.0,4.121624,-6.71269
1.0,180.0,1.0,4.1074915,-6.6448355
1.0,181.0,1.0,5.150882,-7.7585473
1.0,182.0,1.0,6.65209,-7.6836953
1.0,183.0,1.0,5.175293,-7.2858586
1.0,184.0,1.0,8.253177,-8.240376
1.0,185.0,1.0,6.826439,-8.344259
1.0,186.0,1.0,6.753621,-6.3867245
1.0,187.0,1.0,7.1212454,-8.960224
1.0,188.0,1.0,6.9001465,-8.413148
1.0,189.0,1.0,7.763647,-8.502915
1.0,190.0,1.0,8.040472,-9.348463
1.0,191.0,1.0,6.984064,-8.568339
1.0,192.0,1.0,7.4582367,-9.972759
2.0,1.0,1.0,-6.935375,1.5762877
2.0,2.0,1.0,-6.7401876,0.9103167
2.0,3.0,1.0,-6.850438,1.9198445
2.0,4.0,1.0,-7.1598616,2.548602
2.0,5.0,1.0,-7.257596,2.1005728
2.0,6.0,1.0,-7.9946127,1.6435665
2.0,7.0,1.0,-6.1561728,0.875092
2.0,8.0,1.0,-6.332638,1.7465875
2.0,9.0,1.0,-7.256012,2.2369936
2.0,10.0,1.0,-7.050517,2.3125415
2.0,11.0,1.0,-5.3735437,0.7522528
2.0,12.0,1.0,-6.834359,1.0208902
2.0,13.0,1.0,-6.5620775,1.9345386
2.0,14.0,1.0,-7.1606855,1.4184117
2.0,15.0,1.0,-5.441004,0.54991025
2.0,16.0,1.0,-7.1293945,1.2882588
2.0,17.0,1.0,-6.603553,0.7151537
2.0,18.0,1.0,-6.4383993,0.8899838
2.0,19.0,1.0,-6.754181,1.6652228
2.0,20.0,1.0,-6.943572,1.6629866
2.0,21.0,1.0,-7.721224,1.837071
2.0,22.0,1.0,-5.947747,1.371132
2.0,23.0,1.0,-6.147853,0.5108671
2.0,24.0,1.0,-6.54832,1.2234329
2.0,25.0,1.0,-6.158957,1.2756397
2.0,26.0,1.0,-7.9423494,1.6768321
2.0,27.0,1.0,-5.319873,1.2175988
2.0,28.0,1.0,-7.7235746,2.0218804
2.0,29.0,1.0,-6.5028806,1.8286003
2.0,30.0,1.0,-6.3564863,1.1294674
2.0,31.0,1.0,-7.1112785,0.658744
2.0,32.0,1.0,-7.746666,1.3949544
2.0,33.0,1.0,-6.0482826,0.64682984
2.0,34.0,1.0,-6.363826,2.2145169
2.0,35.0,1.0,-6.2998285,2.0269706
2.0,36.0,1.0,-6.8745646,2.0756657
2.0,37.0,1.0,-6.693446,1.6731839
2.0,38.0,1.0,-5.784432,0.8610219
2.0,39.0,1.0,-6.26587,1.9994118
2.0,40.0,1.0,-5.7591963,0.34814635
2.0,41.0,1.0,-4.9482775,0.96459484
2.0,42.0,1.0,-7.8013773,1.1284621
2.0,43.0,1.0,-6.5442877,1.1022357
2.0,44.0,1.0,-5.460714,1.08187
2.0,45.0,1.0,-5.627841,1.9139929
2.0,46.0,1.0,-6.681264,1.4750544
2.0,47.0,1.0,-6.612259,0.742182
2.0,48.0,1.0,-6.582859,1.713084
2.0,49.0,1.0,-6.639801,0.8144324
2.0,50.0,1.0,-6.173066,1.020293
2.0,51.0,1.0,-6.13688,1.5256628
2.0,52.0,1.0,-6.2549496,1.3826011
2.0,53.0,1.0,-6.6379213,1.223721
2.0,54.0,1.0,-6.196781,1.0971493
2.0,55.0,1.0,-6.8588505,0.4989694
2.0,56.0,1.0,-6.797861,1.5460554
2.0,57.0,1.0,-6.3599367,1.126671
2.0,58.0,1.0,-6.883467,0.72679305
2.0,59.0,1.0,-5.962587,0.9533014
2.0,60.0,1.0,-4.972793,1.3733362
2.0,61.0,1.0,-5.7794037,1.341507
2.0,62.0,1.0,-6.4629593,0.6724981
2.0,63.0,1.0,-6.021494,1.6330876
2.0,64.0,1.0,-6.411087,0.6596402
2.0,65.0,1.0,-5.8505716,1.3944739
2.0,66.0,1.0,-5.6170053,1.2279235
2.0,67.0,1.0,-6.261101,0.9139818
2.0,68.0,1.0,-5.4762,1.1610818
2.0,69.0,1.0,-5.0599008,0.44401103
2.0,70.0,1.0,-5.4595747,0.34513152
2.0,71.0,1.0,-5.1843123,0.52611756
2.0,72.0,1.0,-5.875622,1.3561958
2.0,73.0,1.0,-6.3162336,2.0431328
2.0,74.0,1.0,-5.8314896,1.8519521
2.0,75.0,1.0,-7.754223,1.5682368
2.0,76.0,1.0,-5.587494,0.5125742
2.0,77.0,1.0,-5.823672,1.0747193
2.0,78.0,1.0,-6.5380898,1.884371
2.0,79.0,1.0,-5.7359753,0.950881
2.0,80.0,1.0,-7.0371885,2.0016522
2.0,81.0,1.0,-7.2635546,1.2737138
2.0,82.0,1.0,-6.640892,1.3446217
2.0,83.0,1.0,-6.678795,0.48511946
2.0,84.0,1.0,-5.634547,0.99517703
2.0,85.0,1.0,-7.079797,1.5408319
2.0,86.0,1.0,-6.237544,0.96971834
2.0,87.0,1.0,-5.5815268,1.8717097
2.0,88.0,1.0,-6.4627914,1.9758403
2.0,89.0,1.0,-5.727186,0.8710114
2.0,90.0,1.0,-5.8600416,1.1886033
2.0,91.0,1.0,-6.087053,0.086309925
2.0,92.0,1.0,-5.0530906,0.65088737
2.0,93.0,1.0,-5.1322813,0.43710816
2.0,94.0,1.0,-5.771009,1.5787253
2.0,95.0,1.0,-5.9330673,-0.01865913
2.0,96.0,1.0,-5.195779,1.2719479
2.0,97.0,1.0,-5.103445,0.7731062
2.0,98.0,1.0,-6.2985735,1.8839688
2.0,99.0,1.0,-5.220189,1.0203434
2.0,100.0,1.0,-4.808403,0.6438097
2.0,101.0,1.0,-6.073408,1.3554223
2.0,102.0,1.0,-4.3628674,0.275379
2.0,103.0,1.0,-5.436635,1.1006123
2.0,104.0,1.0,-5.670192,1.4243245
2.0,105.0,1.0,-4.800393,1.3261573
2.0,106.0,1.0,-5.021145,1.1503661
2.0,107.0,1.0,-5.7967167,1.5313405
2.0,108.0,1.0,-5.379219,0.9129522
2.0,109.0,1.0,-4.5266924,1.0051274
2.0,110.0,1.0,-5.593084,1.0459746
2.0,111.0,1.0,-6.0352163,2.1164083
2.0,112.0,1.0,-4.3334084,1.5799867
2.0,113.0,1.0,-5.9944034,1.0699159
2.0,114.0,1.0,-6.232234,1.4856011
2.0,115.0,1.0,-5.2366633,0.98929524
2.0,116.0,1.0,-6.4730716,2.1326976
2.0,117.0,1.0,-5.4505596,1.3950573
2.0,118.0,1.0,-5.304166,1.2652841
