T24,T30,T50,P15,P30,Nf,Nc,Ps30,phi,NRf,NRc,BPR,htBleed,W31,W32,unit_number,time_cycles,RUL_raw,RUL_capped
-1.548846,0.539132,-0.436426,0.202722,0.719892,0.01061,-1.32096,0.60087,-0.440214,-0.7074,0.026233,-0.004226,-0.287712,1.05213,0.826408,1.0,1.0,191.0,125.0
-0.666601,0.994297,-0.00583,0.202722,-0.271319,-0.361245,-1.572351,0.716561,0.807553,0.212988,-0.870416,0.463778,-0.287712,0.589154,0.885192,1.0,2.0,190.0,125.0
-0.131908,0.171995,0.173868,0.202722,0.557398,0.382465,-0.520539,-0.55605,1.089306,-0.523323,-0.651599,-0.06891,-2.04467,0.203341,-0.129463,1.0,3.0,189.0,125.0
-0.131908,-0.944445,-0.221128,0.202722,0.866136,0.940248,-0.930829,-1.365893,1.974818,0.397065,-0.576144,-1.956146,-0.287712,-0.336798,0.250074,1.0,4.0,188.0,125.0
-0.078438,-0.931563,0.51631,0.202722,0.134915,0.01061,-0.258476,-0.498204,0.626425,-0.339245,-0.579917,0.37246,0.590767,-0.182472,0.639834,1.0,5.0,187.0,125.0
-0.800275,-0.583749,-0.814469,0.202722,1.223622,-0.7331,-0.907113,-1.192355,-0.399963,-0.523323,-0.699387,-0.335253,-1.166191,0.434829,0.160621,1.0,6.0,186.0,125.0
0.215643,1.101647,-0.916184,0.202722,0.687393,-0.7331,0.213476,-0.035436,0.888054,-0.523323,-0.766038,-0.845112,-0.287712,1.36078,0.294801,1.0,7.0,185.0,125.0
0.429521,-0.907946,-0.373701,0.202722,-0.108825,-1.104955,-1.96011,-0.729588,1.189933,-0.523323,-0.923234,-0.457011,-1.166191,0.357666,-0.558838,1.0,8.0,184.0,125.0
-0.746805,0.813948,-1.419676,0.202722,-0.368815,-0.175317,-1.288943,-0.440358,-0.178585,-0.155168,-1.599808,-1.78112,-0.287712,0.974967,0.667948,1.0,9.0,183.0,125.0
-1.842927,0.86977,-0.460159,0.202722,-0.531308,-0.175317,-0.66758,-1.944353,-0.178585,0.02891,-1.135764,0.342021,0.590767,0.203341,1.470471,1.0,10.0,182.0,125.0
-0.319051,-1.167733,-0.429645,0.202722,1.01238,-0.175317,-0.915413,-1.250201,-0.963471,-0.891478,0.272717,0.547486,-0.287712,0.126178,1.589316,1.0,11.0,181.0,125.0
-0.907213,-0.811331,-0.512712,0.202722,0.979881,0.568393,-0.943873,-1.076663,-0.15846,-0.7074,-0.523326,-0.982089,-1.166191,1.05213,0.14912,1.0,12.0,180.0,125.0
1.792989,-1.073265,-0.397435,0.202722,-0.775049,1.126175,-1.246254,0.080256,-0.057834,0.397065,-1.296733,-0.167837,0.590767,0.049015,-1.004826,1.0,13.0,179.0,125.0
